,SMILES,SMILES_opp,TR/TE,F/L_class,@/@@_class,R/S_class
568,C=C1C=C[C@]2(C(=O)N(C)c3ccc(C)cc32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(C)c3ccc(C)cc32)c2ccccc21,TR,F,@,S
569,C=C1C=C[C@@]2(C(=O)N(C)c3ccc(C)cc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3ccc(C)cc32)c2ccccc21,TR,L,@@,R
570,C=C1C=C[C@]2(C(=O)N(C)c3ccc(F)cc32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(C)c3ccc(F)cc32)c2ccccc21,TR,F,@,S
571,C=C1C=C[C@@]2(C(=O)N(C)c3ccc(F)cc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3ccc(F)cc32)c2ccccc21,TR,L,@@,R
572,C=C1C=C[C@]2(C(=O)N(C)c3ccc(OC)cc32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(C)c3ccc(OC)cc32)c2ccccc21,TR,F,@,S
573,C=C1C=C[C@@]2(C(=O)N(C)c3ccc(OC)cc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3ccc(OC)cc32)c2ccccc21,TR,L,@@,R
574,C=C1C=C[C@]2(C(=O)N(C)c3cccc(C)c32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(C)c3cccc(C)c32)c2ccccc21,TR,F,@,S
575,C=C1C=C[C@@]2(C(=O)N(C)c3cccc(C)c32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3cccc(C)c32)c2ccccc21,TR,L,@@,R
576,C=C1C=C[C@]2(C(=O)N(C)c3ccccc32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(C)c3ccccc32)c2ccccc21,TR,F,@,S
577,C=C1C=C[C@@]2(C(=O)N(C)c3ccccc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3ccccc32)c2ccccc21,TR,L,@@,R
578,C=C1C=C[C@]2(C(=O)N(C)c3ncccc32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(C)c3ncccc32)c2ccccc21,TR,F,@,S
579,C=C1C=C[C@@]2(C(=O)N(C)c3ncccc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3ncccc32)c2ccccc21,TR,L,@@,R
580,C=C1C=C[C@]2(C(=O)N(CC)c3ccccc32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(CC)c3ccccc32)c2ccccc21,TR,F,@,S
581,C=C1C=C[C@@]2(C(=O)N(CC)c3ccccc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(CC)c3ccccc32)c2ccccc21,TR,L,@@,R
582,C=C1C=C[C@]2(c3ccccc31)c1cc(OC)ccc1C(=O)N2C,C=C1C=C[C@@]2(c3ccccc31)c1cc(OC)ccc1C(=O)N2C,TR,F,@,S
583,C=C1C=C[C@@]2(c3ccccc31)c1cc(OC)ccc1C(=O)N2C,C=C1C=C[C@]2(c3ccccc31)c1cc(OC)ccc1C(=O)N2C,TR,L,@@,R
584,C=C1C=C[C@]2(c3ccccc31)c1cc3c(cc1C(=O)N2C)OCO3,C=C1C=C[C@@]2(c3ccccc31)c1cc3c(cc1C(=O)N2C)OCO3,TR,F,@,S
585,C=C1C=C[C@@]2(c3ccccc31)c1cc3c(cc1C(=O)N2C)OCO3,C=C1C=C[C@]2(c3ccccc31)c1cc3c(cc1C(=O)N2C)OCO3,TR,L,@@,R
586,C=C1C=C[C@]2(c3ccccc31)c1ccccc1C(=O)N2Cc1ccccc1,C=C1C=C[C@@]2(c3ccccc31)c1ccccc1C(=O)N2Cc1ccccc1,TR,L,@,S
587,C=C1C=C[C@@]2(c3ccccc31)c1ccccc1C(=O)N2Cc1ccccc1,C=C1C=C[C@]2(c3ccccc31)c1ccccc1C(=O)N2Cc1ccccc1,TR,F,@@,R
588,C=C1c2c(C)cccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2c(C)cccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R
589,C=C1c2c(C)cccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2c(C)cccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S
590,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@]1(CC)c1ccsc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@]1(CC)c1ccsc1,TR,L,@,S
591,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@]1(CC)c1ccsc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@]1(CC)c1ccsc1,TR,F,@@,R
592,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@,R
593,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@@,S
594,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(CCc1cn(Cc2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(CCc1cn(Cc2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(C)cc1,TR,F,@,R
595,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(CCc1cn(Cc2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(CCc1cn(Cc2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(C)cc1,TR,L,@@,S
596,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@]1(CC)c1ccc(C(=O)OC)cc1,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@@]1(CC)c1ccc(C(=O)OC)cc1,TR,L,@,R
597,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@@]1(CC)c1ccc(C(=O)OC)cc1,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@]1(CC)c1ccc(C(=O)OC)cc1,TR,F,@@,S
598,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R
599,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S
600,C=C1c2cc(F)ccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(F)ccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R
601,C=C1c2cc(F)ccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(F)ccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S
602,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@,R
603,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@@,S
604,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R
605,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S
606,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@,R
607,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@@,S
608,C=C1c2ccc(Cl)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Cl)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R
609,C=C1c2ccc(Cl)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Cl)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S
610,C=C1c2ccc(F)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(F)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R
611,C=C1c2ccc(F)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(F)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S
612,C=C1c2ccc(OC)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(OC)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R
613,C=C1c2ccc(OC)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(OC)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S
614,C=C1c2cccc(C)c2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cccc(C)c2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R
615,C=C1c2cccc(C)c2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cccc(C)c2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S
616,C=C1c2ccccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R
617,C=C1c2ccccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S
618,C=C1C[C@](c2ccccc2)(C(F)(F)F)NC1=O,C=C1C[C@@](c2ccccc2)(C(F)(F)F)NC1=O,TR,F,@,S
619,C=C1C[C@@](c2ccccc2)(C(F)(F)F)NC1=O,C=C1C[C@](c2ccccc2)(C(F)(F)F)NC1=O,TR,L,@@,R
620,C=C[C@@H](/C=C/C)n1ccc2ccccc21,C=C[C@H](/C=C/C)n1ccc2ccccc21,TR,L,@@,S
621,C=C[C@H](/C=C/C)n1ccc2ccccc21,C=C[C@@H](/C=C/C)n1ccc2ccccc21,TR,F,@,R
622,C=C[C@@H](CCC)N(C(=O)OC(C)(C)C)C(=O)c1ccccc1,C=C[C@H](CCC)N(C(=O)OC(C)(C)C)C(=O)c1ccccc1,TR,F,@@,R
623,C=C[C@H](CCC)N(C(=O)OC(C)(C)C)C(=O)c1ccccc1,C=C[C@@H](CCC)N(C(=O)OC(C)(C)C)C(=O)c1ccccc1,TR,L,@,S
624,C=C[C@@H](CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,C=C[C@H](CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,TR,L,@@,R
625,C=C[C@H](CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,C=C[C@@H](CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,TR,F,@,S
626,C=C[C@@H](CCCCC)c1c[nH]c2ccc(I)cc12,C=C[C@H](CCCCC)c1c[nH]c2ccc(I)cc12,TR,F,@@,R
627,C=C[C@H](CCCCC)c1c[nH]c2ccc(I)cc12,C=C[C@@H](CCCCC)c1c[nH]c2ccc(I)cc12,TR,L,@,S
628,C=C[C@@H](CCCCC)n1ccc2cc(C)ccc21,C=C[C@H](CCCCC)n1ccc2cc(C)ccc21,TR,L,@@,R
629,C=C[C@H](CCCCC)n1ccc2cc(C)ccc21,C=C[C@@H](CCCCC)n1ccc2cc(C)ccc21,TR,F,@,S
630,C=C[C@@H](CCCCC)n1ccc2cc(F)ccc21,C=C[C@H](CCCCC)n1ccc2cc(F)ccc21,TR,L,@@,R
631,C=C[C@H](CCCCC)n1ccc2cc(F)ccc21,C=C[C@@H](CCCCC)n1ccc2cc(F)ccc21,TR,F,@,S
632,C=C[C@@H](CNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)CC(=O)c1ccccc1,C=C[C@H](CNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)CC(=O)c1ccccc1,TR,L,@@,S
633,C=C[C@H](CNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)CC(=O)c1ccccc1,C=C[C@@H](CNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)CC(=O)c1ccccc1,TR,F,@,R
634,C=C[C@](CSc1nc2cc(Cl)ccc2s1)(CN(C)C(c1ccccc1)c1ccccc1)OCc1ccccc1,C=C[C@@](CSc1nc2cc(Cl)ccc2s1)(CN(C)C(c1ccccc1)c1ccccc1)OCc1ccccc1,TR,F,@,R
635,C=C[C@@](CSc1nc2cc(Cl)ccc2s1)(CN(C)C(c1ccccc1)c1ccccc1)OCc1ccccc1,C=C[C@](CSc1nc2cc(Cl)ccc2s1)(CN(C)C(c1ccccc1)c1ccccc1)OCc1ccccc1,TR,L,@@,S
636,C=C[C@@]1(C)c2c(C)cccc2C(=O)N1OC,C=C[C@]1(C)c2c(C)cccc2C(=O)N1OC,TR,L,@@,S
637,C=C[C@]1(C)c2c(C)cccc2C(=O)N1OC,C=C[C@@]1(C)c2c(C)cccc2C(=O)N1OC,TR,F,@,R
638,C=C[C@@]1(C)c2cc(Cl)ccc2C(=O)N1OC,C=C[C@]1(C)c2cc(Cl)ccc2C(=O)N1OC,TR,L,@@,S
639,C=C[C@]1(C)c2cc(Cl)ccc2C(=O)N1OC,C=C[C@@]1(C)c2cc(Cl)ccc2C(=O)N1OC,TR,F,@,R
640,C=C[C@@]1(C)c2cc(F)ccc2C(=O)N1OC,C=C[C@]1(C)c2cc(F)ccc2C(=O)N1OC,TR,L,@@,S
641,C=C[C@]1(C)c2cc(F)ccc2C(=O)N1OC,C=C[C@@]1(C)c2cc(F)ccc2C(=O)N1OC,TR,F,@,R
642,C=C[C@@]1(C)c2ccc(OC)cc2C(=O)N1OC,C=C[C@]1(C)c2ccc(OC)cc2C(=O)N1OC,TR,L,@@,S
643,C=C[C@]1(C)c2ccc(OC)cc2C(=O)N1OC,C=C[C@@]1(C)c2ccc(OC)cc2C(=O)N1OC,TR,F,@,R
644,C=C[C@@]1(C)c2cccc(OC)c2C(=O)N1OC,C=C[C@]1(C)c2cccc(OC)c2C(=O)N1OC,TR,L,@@,S
645,C=C[C@]1(C)c2cccc(OC)c2C(=O)N1OC,C=C[C@@]1(C)c2cccc(OC)c2C(=O)N1OC,TR,F,@,R
646,C=C[C@@]1(C)c2ccccc2C(=O)N1c1ccccc1,C=C[C@]1(C)c2ccccc2C(=O)N1c1ccccc1,TR,L,@@,S
647,C=C[C@]1(C)c2ccccc2C(=O)N1c1ccccc1,C=C[C@@]1(C)c2ccccc2C(=O)N1c1ccccc1,TR,F,@,R
648,C=C[C@@]1(C)c2ccccc2C(=O)N1Cc1ccccc1-c1ccccc1,C=C[C@]1(C)c2ccccc2C(=O)N1Cc1ccccc1-c1ccccc1,TR,L,@@,S
649,C=C[C@]1(C)c2ccccc2C(=O)N1Cc1ccccc1-c1ccccc1,C=C[C@@]1(C)c2ccccc2C(=O)N1Cc1ccccc1-c1ccccc1,TR,F,@,R
650,C=C[C@@]1(C)c2ccccc2C(=O)N1OC,C=C[C@]1(C)c2ccccc2C(=O)N1OC,TR,L,@@,S
651,C=C[C@]1(C)c2ccccc2C(=O)N1OC,C=C[C@@]1(C)c2ccccc2C(=O)N1OC,TR,F,@,R
652,C=C[C@@]1(C)c2ccccc2C(=O)N1OCc1ccccc1,C=C[C@]1(C)c2ccccc2C(=O)N1OCc1ccccc1,TR,L,@@,S
653,C=C[C@]1(C)c2ccccc2C(=O)N1OCc1ccccc1,C=C[C@@]1(C)c2ccccc2C(=O)N1OCc1ccccc1,TR,F,@,R
654,C=C[C@@]1(C)CC(c2ccccc2)=NN1S(=O)(=O)c1ccc(C)cc1,C=C[C@]1(C)CC(c2ccccc2)=NN1S(=O)(=O)c1ccc(C)cc1,TR,L,@@,R
655,C=C[C@]1(C)CC(c2ccccc2)=NN1S(=O)(=O)c1ccc(C)cc1,C=C[C@@]1(C)CC(c2ccccc2)=NN1S(=O)(=O)c1ccc(C)cc1,TR,F,@,S
656,C=C[C@]1(C)NC(=O)c2ccccc21,C=C[C@@]1(C)NC(=O)c2ccccc21,TR,L,@,S
657,C=C[C@@]1(C)NC(=O)c2ccccc21,C=C[C@]1(C)NC(=O)c2ccccc21,TR,F,@@,R
658,C=C[C@@]1(c2ccc(F)cc2F)COC(=O)N1c1ccccc1OC,C=C[C@]1(c2ccc(F)cc2F)COC(=O)N1c1ccccc1OC,TR,F,@@,R
659,C=C[C@]1(c2ccc(F)cc2F)COC(=O)N1c1ccccc1OC,C=C[C@@]1(c2ccc(F)cc2F)COC(=O)N1c1ccccc1OC,TR,L,@,S
660,C=C[C@]1(C2CCCCC2)COC(=O)N1c1ccccc1OC,C=C[C@@]1(C2CCCCC2)COC(=O)N1c1ccccc1OC,TR,F,@,S
661,C=C[C@@]1(C2CCCCC2)COC(=O)N1c1ccccc1OC,C=C[C@]1(C2CCCCC2)COC(=O)N1c1ccccc1OC,TR,L,@@,R
662,C=C[C@@]1(CC)c2ccccc2C(=O)N1OC,C=C[C@]1(CC)c2ccccc2C(=O)N1OC,TR,L,@@,S
663,C=C[C@]1(CC)c2ccccc2C(=O)N1OC,C=C[C@@]1(CC)c2ccccc2C(=O)N1OC,TR,F,@,R
664,C=C[C@@]1(CCC)c2ccccc2C(=O)N1OC,C=C[C@]1(CCC)c2ccccc2C(=O)N1OC,TR,L,@@,S
665,C=C[C@]1(CCC)c2ccccc2C(=O)N1OC,C=C[C@@]1(CCC)c2ccccc2C(=O)N1OC,TR,F,@,R
666,C=C[C@@]1(CCc2ccccc2)c2ccccc2C(=O)N1OC,C=C[C@]1(CCc2ccccc2)c2ccccc2C(=O)N1OC,TR,L,@@,S
667,C=C[C@]1(CCc2ccccc2)c2ccccc2C(=O)N1OC,C=C[C@@]1(CCc2ccccc2)c2ccccc2C(=O)N1OC,TR,F,@,R
668,C=C[C@@H]1c2[nH]c3ccc(-c4ccccc4)cc3c2CCN1S(=O)(=O)c1c(C)cc(C)cc1C,C=C[C@H]1c2[nH]c3ccc(-c4ccccc4)cc3c2CCN1S(=O)(=O)c1c(C)cc(C)cc1C,TR,L,@@,R
669,C=C[C@H]1c2[nH]c3ccc(-c4ccccc4)cc3c2CCN1S(=O)(=O)c1c(C)cc(C)cc1C,C=C[C@@H]1c2[nH]c3ccc(-c4ccccc4)cc3c2CCN1S(=O)(=O)c1c(C)cc(C)cc1C,TR,F,@,S
670,C=C[C@@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1c(C)cc(C)cc1C,C=C[C@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1c(C)cc(C)cc1C,TR,L,@@,R
671,C=C[C@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1c(C)cc(C)cc1C,C=C[C@@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1c(C)cc(C)cc1C,TR,F,@,S
672,C=C[C@@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,C=C[C@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,TR,F,@@,R
673,C=C[C@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,C=C[C@@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,TR,L,@,S
674,C=C[C@@H]1c2[nH]c3ccccc3c2CCN1S(C)(=O)=O,C=C[C@H]1c2[nH]c3ccccc3c2CCN1S(C)(=O)=O,TR,L,@@,R
675,C=C[C@H]1c2[nH]c3ccccc3c2CCN1S(C)(=O)=O,C=C[C@@H]1c2[nH]c3ccccc3c2CCN1S(C)(=O)=O,TR,F,@,S
676,C=Cc1ccc([C@@](O)(CO)CSc2nc3ccccc3s2)cc1,C=Cc1ccc([C@](O)(CO)CSc2nc3ccccc3s2)cc1,TR,L,@@,R
677,C=Cc1ccc([C@](O)(CO)CSc2nc3ccccc3s2)cc1,C=Cc1ccc([C@@](O)(CO)CSc2nc3ccccc3s2)cc1,TR,F,@,S
678,C=Cc1ccc([C@]2(c3ccccc3)CCCCC2=O)cc1,C=Cc1ccc([C@@]2(c3ccccc3)CCCCC2=O)cc1,TR,F,@,R
679,C=Cc1ccc([C@@]2(c3ccccc3)CCCCC2=O)cc1,C=Cc1ccc([C@]2(c3ccccc3)CCCCC2=O)cc1,TR,L,@@,S
680,C=Cc1ccc([C@H]2CCCCN2C(=S)c2c(C(C)C)cc(C(C)C)cc2C(C)C)cc1,C=Cc1ccc([C@@H]2CCCCN2C(=S)c2c(C(C)C)cc(C(C)C)cc2C(C)C)cc1,TR,L,@,R
681,C=Cc1ccc([C@@H]2CCCCN2C(=S)c2c(C(C)C)cc(C(C)C)cc2C(C)C)cc1,C=Cc1ccc([C@H]2CCCCN2C(=S)c2c(C(C)C)cc(C(C)C)cc2C(C)C)cc1,TR,F,@@,S
682,C=Cc1ccc2[nH]cc([C@@H](C=C)CCCCC)c2c1,C=Cc1ccc2[nH]cc([C@H](C=C)CCCCC)c2c1,TR,F,@@,R
683,C=Cc1ccc2[nH]cc([C@H](C=C)CCCCC)c2c1,C=Cc1ccc2[nH]cc([C@@H](C=C)CCCCC)c2c1,TR,L,@,S
684,C=Cc1cccc2c1[C@](/C=C/c1ccccc1)(CO)C(=O)N2COCc1ccccc1,C=Cc1cccc2c1[C@@](/C=C/c1ccccc1)(CO)C(=O)N2COCc1ccccc1,TR,L,@,R
685,C=Cc1cccc2c1[C@@](/C=C/c1ccccc1)(CO)C(=O)N2COCc1ccccc1,C=Cc1cccc2c1[C@](/C=C/c1ccccc1)(CO)C(=O)N2COCc1ccccc1,TR,F,@@,S
686,C=Cc1ccccc1[C@@](O)(CO)CSc1nc2ccccc2s1,C=Cc1ccccc1[C@](O)(CO)CSc1nc2ccccc2s1,TR,L,@@,R
687,C=Cc1ccccc1[C@](O)(CO)CSc1nc2ccccc2s1,C=Cc1ccccc1[C@@](O)(CO)CSc1nc2ccccc2s1,TR,F,@,S
688,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2c(C)cccc2O1,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2c(C)cccc2O1,TR,L,@@,R
689,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2c(C)cccc2O1,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2c(C)cccc2O1,TR,F,@,S
690,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(Br)ccc2N1S(C)(=O)=O,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(Br)ccc2N1S(C)(=O)=O,TR,F,@@,R
691,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(Br)ccc2N1S(C)(=O)=O,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(Br)ccc2N1S(C)(=O)=O,TR,L,@,S
692,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(Cl)c(C)cc2N1S(C)(=O)=O,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(Cl)c(C)cc2N1S(C)(=O)=O,TR,F,@@,R
693,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(Cl)c(C)cc2N1S(C)(=O)=O,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(Cl)c(C)cc2N1S(C)(=O)=O,TR,L,@,S
694,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(Cl)ccc2N1S(C)(=O)=O,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(Cl)ccc2N1S(C)(=O)=O,TR,F,@@,R
